title,original_title,date,duration,categories,countries,star_rating,notes,reviews,directors,actors,composers,summary,url_thumbnail,url_reviews,url_similar_movies
Forrest Gump,Forrest Gump,5 octobre 1994,2h 20min,"Comédie,Drame,Romance",U.S.A.,"4,6",133898,2463,Robert Zemeckis,"Tom Hanks,Gary Sinise,Robin Wright,Mykelti Williamson,Sally Field,Michael Connor Humphreys,Peter Dobson,Dick Cavett,Haley Joel Osment,Hanna Hall,Brett Rice,Siobhan Fallon Hogan,Sam Anderson,Sonny Shroyer,Margo Moorer,Kirk Ward,Rebecca Williams",Alan Silvestri,"Quelques décennies d'histoire américaine, des années 1940 à la fin du XXème siècle, à travers le regard et l'étrange odyssée d'un homme simple et pur, Forrest Gump.",https://fr.web.img2.acsta.net/c_310_420/pictures/15/10/13/15/12/514297.jpg,https://www.allocine.fr/film/fichefilm-10568/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-10568/similaire/
Pulp Fiction,Pulp Fiction,26 octobre 1994,2h 29min,"Policier,Drame",U.S.A.,"4,5",108432,2708,Quentin Tarantino,"John Travolta,Samuel L. Jackson,Uma Thurman,Bruce Willis,Harvey Keitel,Ving Rhames,Rosanna Arquette,Tim Roth,Amanda Plummer,Maria de Medeiros,Christopher Walken,Eric Stoltz,Bronagh Gallagher,Peter Greene,Burr Steers,Steve Buscemi,Frank Whaley,Alexis Arquette,Paul Calderon,Kathy Griffin,Dick Miller,Julia Sweeney,Lawrence Bender,Brenda Hillhouse,Angela Jones,Joseph Pilato,Michael Gilden",,L'odyssée sanglante et burlesque de petits malfrats dans la jungle de Hollywood à travers trois histoires qui s'entremêlent.,https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/36/02/52/18846059.jpg,https://www.allocine.fr/film/fichefilm-10126/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-10126/similaire/
Les Evadés,The Shawshank Redemption,1 mars 1995,2h 22min,Drame,U.S.A.,"4,5",66085,1569,Frank Darabont,"Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,Clancy Brown,Gil Bellows,James Whitmore,Mark Rolston,Alfonso Freeman,Jeffrey De Munn,Larry Brandenburg,Neil Giuntoli,Brian Libby,David Proval,Joseph Ragno,Jude Ciccolella,Paul McCrane",Thomas Newman,"Red, condamné à perpétuité, et Andy Dufresne, un gentil banquier injustement condamné pour meurtre, se lient d'une amitié inattendue qui va durer plus de vingt ans. Ensemble, ils d",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/63/30/68/18686447.jpg,https://www.allocine.fr/film/fichefilm-11736/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-11736/similaire/
Léon,Léon,14 septembre 1994,1h 43min,"Action,Policier,Drame,Thriller",France,"4,3",85898,1306,Luc Besson,"Jean Reno,Natalie Portman,Gary Oldman,Danny Aiello,Peter Appel,Willi One Blood,Don Creech,Keith A. Glascoe,Jernard Burks,Michael Badalucco,Ellen Greene,Elizabeth Regen,Frank Senger,Maïwenn,Eric Challier,George Martin,Kent Broadhurst,Tommy Hollis,Geoffrey Bateman,Samy Naceri",Eric Serra,"Un tueur à gages répondant au nom de Léon prend sous son aile Mathilda, une petite fille de douze ans, seule rescapée du massacre de sa famille. Bientôt, Léon va faire de Mathilda ",https://fr.web.img6.acsta.net/c_310_420/pictures/14/08/21/14/15/233032.jpg,https://www.allocine.fr/film/fichefilm-9684/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-9684/similaire/
Entretien avec un vampire,Interview with the Vampire,21 décembre 1994,2h 03min,"Drame,Fantastique,Epouvante-horreur",U.S.A.,"4,0",33881,595,Neil Jordan,"Tom Cruise,Brad Pitt,Stephen Rea,Kirsten Dunst,Christian Slater,Antonio Banderas,Thandiwe Newton,Laure Marsac,John McConnell,Bellina Logan,Helen McCrory,Roger Lloyd-Pack,Sara Stockbridge,Domiziana Giordano,Nicole Dubois,Marcel Iures,Susan Lynch (I),Andrew Tiernan,George Yiasoumi",Elliot Goldenthal,"San Francisco dans les années 90. Un jeune journaliste, Malloy, s'entretient dans une chambre avec un homme élégant, à l'allure aristocratique et au visage blafard, Louis, qui lui ",https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/65/35/09/18886864.jpg,https://www.allocine.fr/film/fichefilm-11234/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-11234/similaire/
Le Roi Lion,The Lion King,23 novembre 1994,1h 29min,"Aventure,Animation,Famille,Comédie musicale",U.S.A.,"4,5",85427,1181,,,,"Sur les Hautes terres d’Afrique règne un lion tout-puissant, le roi Mufasa, que tous les hôtes de la jungle respectent et admirent pour sa sagesse et sa générosité. Son jeune fils ",https://fr.web.img6.acsta.net/c_310_420/pictures/22/09/20/12/10/2512840.jpg,https://www.allocine.fr/film/fichefilm-10862/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-10862/similaire/
Blown Away,Blown Away,16 novembre 1994,2h 01min,"Action,Thriller",U.S.A.,"3,0",886,84,Stephen Hopkins,"Jeff Bridges,Tommy Lee Jones,Lloyd Bridges,Forest Whitaker,Suzy Amis,Stephi Lineburg,John Finn,Caitlin Clarke,Loyd Catlett,Ruben Santiago-Hudson,Lucinda Weist,Brendan Burns,Cuba Gooding Jr.",Alan Silvestri,"Jimmy Dove, spécialiste du déminage, est un des meilleurs éléments de la police de Boston. Mais en realité il a fui l'Irlande après avoir provoqué un massacre chez ses amis séparat",https://fr.web.img6.acsta.net/c_310_420/pictures/22/08/29/16/46/2018116.jpg,https://www.allocine.fr/film/fichefilm-10905/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-10905/similaire/
Quatre mariages et un enterrement,Four Weddings and a Funeral,27 avril 1994,1h 57min,"Comédie,Drame,Romance","Grande-Bretagne,U.S.A.","3,7",27078,292,Mike Newell,"Hugh Grant,Andie MacDowell,Kristin Scott Thomas,John Hannah,Simon Callow,Charlotte Coleman,Rowan Atkinson,Sophie Thompson,Corin Redgrave,Kenneth Griffith,Hannah Taylor-Gordon,Timothy Walker,Hannah Gordon,Rosalie Crutchley,James Fleet,Sara Crowe,Elspet Gray,Philip Voss,Nicola Walker,Bernice Stegers,Struan Rodger,John Abbott,Rupert Vansittart,Simon Kunz,David Haig,Emily Morgan,Anna Chancellor",Richard Rodney Bennett,"Charles est célibataire. Seul compte son petit cercle d'amis, composé de Fiona, Gareth, Tom, Matthew et Scarlett, sa co-locataire. L'amour ne le tente pas et quand il fait la conna",https://fr.web.img4.acsta.net/c_310_420/pictures/21/02/03/14/04/0742965.jpg,https://www.allocine.fr/film/fichefilm-101286/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-101286/similaire/
La Cité de la peur,La Cité de la peur,9 mars 1994,1h 40min,Comédie,France,"4,0",51211,880,Alain Berbérian,"Chantal Lauby,Alain Chabat,Dominique Farrugia,Gérard Darmon,Sam Karmann,Hélène de Fougerolles,Tchéky Karyo,Jean-Pierre Bacri,Daniel Gélin,Eddy Mitchell,Rosanna Arquette,Patrick Lizana,Jean-Christophe Bouvet,Eric Prat,Marc de Jonge,Valérie Lemercier,Dominique Besnehard,Pierre Lescure,Dave,Patrice Laffont,Artus de Penguern,Michel Hazanavicius,Olivier Doran,Florence Viala",Philippe Chany,"De nos jours, à Cannes, pendant le Festival. Pas facile pour Odile Deray, petite attachée de presse de cinéma, de faire parler de son film ""Red is Dead"". Il faut avouer qu'il s'agi",https://fr.web.img6.acsta.net/c_310_420/pictures/19/05/03/14/30/1132544.jpg,https://www.allocine.fr/film/fichefilm-9400/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-9400/similaire/
The Mask,The Mask,26 octobre 1994,1h 40min,"Comédie,Fantastique",U.S.A.,"3,9",53706,698,Chuck Russell,"Jim Carrey,Cameron Diaz,Peter Greene,Peter Riegert,Amy Yasbeck,Richard Jeni,Orestes Matacena,Ben Stein,Tim Bagley,Nancy Fish,Johnny Williams,Reg E. Cathey,Jim Doughan,Denis Forest,Blake Clark,Joely Fisher,Ivory Ocean,Nils Allen Stewart,Meadow Williams",Randy Edelman,"Stanley Ipkiss, modeste employé de banque, passionné par l'univers de Tex Avery, trouve un masque ancien aux pouvoirs surnaturels. Il est néanmoins partagé entre devenir cette créa",https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/64/88/83/19255620.jpg,https://www.allocine.fr/film/fichefilm-10744/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-10744/similaire/
