title,original_title,date,duration,categories,countries,star_rating,notes,reviews,directors,actors,composers,summary,url_thumbnail,url_reviews,url_similar_movies
Buffet Froid,Buffet Froid,19 décembre 1979,1h 30min,"Comédie dramatique,Judiciaire",France,"3,9",7114,255,Bertrand Blier,"Gérard Depardieu,Bernard Blier,Jean Carmet,Marco Perrin,Jean Benguigui,Michel Serrault,Carole Bouquet,Geneviève Page,Bernard Crombey,Denise Gence,Liliane Rovère,Jean Rougerie",Philippe Sarde,"Tout commence quand Alphonse Tram, chômeur, rencontre un inconnu dans les couloirs déserts du R.E.R. Il le retrouve quelques temps plus tard assassiné avec son propre couteau. Dans",https://fr.web.img6.acsta.net/c_310_420/pictures/23/04/14/09/40/5533712.jpg,https://www.allocine.fr/film/fichefilm-2651/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-2651/similaire/
Les Bronzés font du ski,Les Bronzés font du ski,22 novembre 1979,1h 30min,Comédie,France,"4,0",55370,632,Patrice Leconte,"Michel Blanc,Marie-Anne Chazel,Christian Clavier,Thierry Lhermitte,Dominique Lavanant,Bruno Moynot,Roland Giraud,Michel Such,Guy Laporte,Gérard Jugnot,Josiane Balasko,Maurice Chevit,Véronique Barrault",Pierre Bachelet,"Après le Club méditerranée, la joyeuse troupe d'amis (plus connu sous le nom Des Bronzés) se retrouvent aux sports d'hiver. Ils vivront encore d'autres problèmes sentimentaux, et m",https://fr.web.img6.acsta.net/c_310_420/pictures/17/01/17/16/24/593647.jpg,https://www.allocine.fr/film/fichefilm-3198/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-3198/similaire/
"Alien, le huitième passager",Alien,12 septembre 1979,1h 56min,"Epouvante-horreur,Science Fiction","Grande-Bretagne,U.S.A.","4,4",48939,1521,Ridley Scott,"Sigourney Weaver,Tom Skerritt,Veronica Cartwright,Harry Dean Stanton,John Hurt,Ian Holm,Yaphet Kotto,Bolaji Badejo",Jerry Goldsmith,"Le vaisseau commercial Nostromo et son équipage, sept hommes et femmes, rentrent sur Terre avec une importante cargaison de minerai. Mais lors d'un arrêt forcé sur une planète dése",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/35/14/60/18363837.jpg,https://www.allocine.fr/film/fichefilm-62/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-62/similaire/
Apocalypse Now Final Cut,Apocalypse Now,26 septembre 1979,3h 02min,"Drame,Guerre",U.S.A.,"4,4",36039,969,Francis Ford Coppola,"Martin Sheen,Frederic Forrest,Robert Duvall,Albert Hall,Dennis Hopper,Harrison Ford,Marlon Brando,Sam Bottoms,Laurence Fishburne,G.D. Spradlin,Scott Glenn,James Keane,Kerry Rossall,Tom Mason,Colleen Camp,Jack Thibeau,Damien Leake,Marc Coppola,Bill Graham","Francis Ford Coppola,Carmine Coppola,Mickey Hart","Cloîtré dans une chambre d'hôtel de Saïgon, le jeune capitaine Willard, mal rasé et imbibé d'alcool, est sorti de sa prostration par une convocation de l'état-major américain. Le g",https://fr.web.img2.acsta.net/c_310_420/pictures/19/08/01/11/55/5421188.jpg,https://www.allocine.fr/film/fichefilm-27061/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-27061/similaire/
I... comme Icare,I... comme Icare,19 décembre 1979,2h 00min,"Policier,Thriller",France,"4,0",1340,99,Henri Verneuil,"Yves Montand,Michel Etcheverry,Roger Planchon,Jacques Denis,Pierre Vernier,Jacques Sereys,Jean-Francois Garreaud,Michel Albertini,Georges Beller,Roland Blanche,Marcel Marechal,Jean Négroni,Robert Party,Jean-Claude Jay,Brigitte Lahaie,Maurice Bénichou",Ennio Morricone,"A la suite de la mort d'un Président d'un Etat fictif, le procureur Henri Volney qui s'est penché sur ce décès refuse les conclusions de l'enquête. Il parvient à interroger un témo",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/66/34/92/18928560.jpg,https://www.allocine.fr/film/fichefilm-24712/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-24712/similaire/
Nosferatu Fantôme de la Nuit,Nosferatu – Phantom der Nacht,17 janvier 1979,1h 47min,Epouvante-horreur,"France,Allemagne de l'Ouest","3,5",751,107,Werner Herzog,"Klaus Kinski,Isabelle Adjani,Bruno Ganz,Roland Topor,Walter Ladengast,Jacques Dufilho,Werner Herzog,Dan Van Husen",Florian Fricke,"Au XIXe siècle, Jonathan Harker se rend en Transylvanie pour vendre un manoir au comte Dracula. Sur la route, les villageois lui conseillent de rebrousser chemin mais le jeune homm",https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/65/76/13/18886860.jpg,https://www.allocine.fr/film/fichefilm-1382/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-1382/similaire/
Mad Max,Mad Max,13 janvier 1982,1h 25min,"Action,Science Fiction",Australie,"3,7",19562,622,George Miller,"Bertrand Cadart,David Bracks,Mel Gibson,Joanne Samuel,Hugh Keays-Byrne,Steve Bisley,Tim Burns,Roger Ward,David Cameron,Max Fairchild,Sheila Florance,Vincent Gil,Jonathan Hardy,Nick Lathouris,Reg Evans",Brian May,"Sur les autoroutes désertées d'une Australie méconnaissable, une guerre sans merci oppose motards hors-la-loi et policiers Interceptor, qui tentent de triompher de la vermine au vo",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/66/60/81/18943123.jpg,https://www.allocine.fr/film/fichefilm-2041/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-2041/similaire/
Stalker,Stalker,18 novembre 1981,2h 43min,"Drame,Science Fiction","Allemagne de l'Ouest,Russie","4,1",1986,188,Andreï Tarkovsky,"Alexandre Kaidanovski,Anatoly Slivnikov,Nikolay Grinko,Alisa Freyndlikh,Faime Jurno,Sergey Yakovlev,Vladimir Zamanskiy,E. Kostin",Eduard Artemiev,"Dans un pays et une époque indéterminés, il existe une zone interdite, fermée et gardée militairement. On dit qu'elle abrite une chambre exauçant les désirs secrets des hommes et q",https://fr.web.img3.acsta.net/c_310_420/pictures/17/06/27/11/57/090522.jpg,https://www.allocine.fr/film/fichefilm-702/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-702/similaire/
L'Evadé d'Alcatraz,Escape from Alcatraz,31 octobre 1979,1h 52min,"Action,Policier,Drame",U.S.A.,"4,0",10889,237,Don Siegel,"Stephen Bradley (II),Clint Eastwood,Patrick McGoohan,Roberts Blossom,Jack Thibeau,Paul Benjamin,Larry Hankin,Bruce M. Fischer,Fred Stuthman,David Cryer,Madison Arnold,Jason Ronard,Garry Goodrow,Fred Ward,Danny Glover,Carl Lumbly",Jerry Fielding,"Frank Morris s'est évadé de plusieurs prisons. En 1960, il est écroué et transféré au célèbre pénitencier d'Alcatraz construit sur un piton rocheux face à la côte. Il réussira, une",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/36/15/83/18866899.jpg,https://www.allocine.fr/film/fichefilm-378/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-378/similaire/
Le Seigneur des anneaux,The Lord of the Rings,23 janvier 1980,1h 53min,"Animation,Fantastique",U.S.A.,"3,6",9511,81,Ralph Bakshi,"Fraser Kerr,Philip Stone,Michael Deacon,Annette Crosbie,John Westbrook,John A. Neris,Sharon Baird,Billy Barty",,"Dans les Terres du Milieu, l'Anneau unique forgé par Sauron le maléfique pour dominer les hommes, les elfes et les nains est tombé par inadvertance dans les mains de Frodon, paisib",https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/65/65/36/18880027.jpg,https://www.allocine.fr/film/fichefilm-38512/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-38512/similaire/
L'Amour en Fuite,L'Amour en Fuite,24 janvier 1979,1h 35min,"Comédie,Romance",France,"3,6",679,53,François Truffaut,"Jean-Pierre Léaud,Marie-France Pisier,Claude Jade,Dani,Dorothée,Daniel Mesguich,Julien Bertheau,Rosy Varte,Jean-Pierre Ducos,Marie Henriau,Alain Ollivier,Richard Berry,André Dussollier",Georges Delerue,"Huit ans après leur mariage, Antoine et Christine se quittent en bons termes et toujours liés par leur fils Alphonse. Devenu romancier, Antoine profite de son célibat pour retrouve",https://fr.web.img6.acsta.net/c_310_420/pictures/21/10/28/16/37/4883065.jpg,https://www.allocine.fr/film/fichefilm-1371/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-1371/similaire/
Coup de tête,Coup de tête,14 février 1979,1h 32min,Comédie dramatique,France,"3,9",5982,225,Jean-Jacques Annaud,"Patrick Dewaere,France Dougnac,Jean Bouise,Paul Le Person,Michel Aumont,Janine Darcey,Corinne Marchand,Mario David,Hubert Deschamps,Dorothée Jemma,Bernard-Pierre Donnadieu,Gérard Hernandez,Maurice Barrier,Robert Dalban,Michel Fortin,Patrick Floersheim,Dora Doll,Francois Dyrek,Jacques Frantz,Catherine Samie,Jean-Pierre Darroussin,Muriel Montossé",Pierre Bachelet,François Perrin est ailier droit dans l'équipe de football de la petite ville de Trincamp. Seulement il a un sale caractère. Le président du club est également le patron de l'usine,https://fr.web.img6.acsta.net/c_310_420/pictures/16/05/25/17/16/581352.jpg,https://www.allocine.fr/film/fichefilm-18404/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-18404/similaire/
Tess,Tess,31 octobre 1979,2h 51min,"Drame,Romance","Grande-Bretagne,France","3,9",1159,84,Roman Polanski,"Nastassja Kinski,Peter Firth,Leigh Lawson,John Collin,Rosemary Martin,Carolyn Pickles,Suzanna Hamilton,Caroline Embling,Richard Pearson (I),Pascale de Boysson,Arielle Dombasle,John Bett,Tom Chadbon,David Markham,Dicken Ashworth,Lesley Dunlop",Philippe Sarde,"Dans l'Angleterre du 19ème siècle, un paysan du Dorset, John Durbeyfield, découvre par hasard qu'il est le dernier descendant d'une grande famille d'aristocrates. Motivé par le pro",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/36/33/69/20319346.jpg,https://www.allocine.fr/film/fichefilm-823/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-823/similaire/
Kramer contre Kramer,Kramer vs. Kramer,7 février 1980,1h 45min,Drame,U.S.A.,"4,0",8884,206,Robert Benton,"Dustin Hoffman,Meryl Streep,Justin Henry,Jane Alexander,Howard Duff,Howland Chamberlain,George Coe,Bill Moor,JoBeth Williams,Joe Seneca,Jess Osuna",Herb Harris,"Exaspérée par les priorités professionnelles de son mari, Joanna Kramer quitte son mari Ted et leur fils Billy. Le père doit alors concilier l'éducation de son fils et son travail ",https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/62/87/37/19151171.jpg,https://www.allocine.fr/film/fichefilm-1237/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-1237/similaire/
L'Avare,L'Avare,5 mars 1980,2h 05min,Comédie,France,"3,5",11537,115,"Jean Girault,Louis de Funès","Louis de Funès,Claire Dupray,Frank David,Hervé Bellon,Michel Galabru,Bernard Ménez,Claude Gensac",Jean Bizet,"Harpagon, un bourgeois avare, a une fils, Cléante, et une fille, Elise. Cette dernière est amoureuse de Valère, qui ne trouve d'autre solution pour se rapprocher de sa bien aimée q",https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/36/37/36/18478109.jpg,https://www.allocine.fr/film/fichefilm-37031/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-37031/similaire/
Série noire,Série noire,25 avril 1979,1h 51min,"Policier,Drame",France,"3,9",4616,205,Alain Corneau,"Patrick Dewaere,Myriam Boyer,Marie Trintignant,Bernard Blier,Jeanne Herviale,Andreas Katsulas,Charlie Farnel,Samuel Mek","Juan Tizol,Duke Ellington","La vie de Franck Poupart est terriblement minable et ennuyeuse. Petit représentant de commerce sans envergure, englué dans une vie sentimentale sans relief, Franck Poupart a des en",https://fr.web.img5.acsta.net/c_310_420/pictures/18/02/08/17/12/1806060.jpg,https://www.allocine.fr/film/fichefilm-3962/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-3962/similaire/
