title,original_title,date,duration,categories,countries,star_rating,notes,reviews,directors,actors,composers,summary,url_thumbnail,url_reviews,url_similar_movies
L'Armée des Ombres,L'Armée des Ombres,12 septembre 1969,2h 23min,"Drame,Guerre","France,Italie","4,3",8227,299,Jean-Pierre Melville,"Lino Ventura,Simone Signoret,Paul Crauchet,Jean-Pierre Cassel,Alain Dekok,Albert Michel,Denis Sadier,Colin Mann,Percival Russel,Jeanne Pérez,Michel Dacquin,Gaston Meunier,Adrien Cayla-Legrand,Nathalie Delon,Paul Meurisse,Alain Mottet,Jean-Marie Robain,Claude Mann,Christian Barbier,Serge Reggiani,Marco Perrin,Hubert de Lapparent,Georges Sellier,Alain Libolt",Éric Demarsan,"France 1942. Gerbier, ingénieur des Ponts et Chaussées est également l'un des chefs de la Résistance. Dénoncé et capturé, il est incarcéré dans un camp de prisonniers. Alors qu'il ",https://fr.web.img4.acsta.net/c_310_420/img/23/c1/23c1acd5c06be11bc9a64f448dae49f4.jpg,https://www.allocine.fr/film/fichefilm-4248/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-4248/similaire/
Easy Rider,Easy Rider,27 juin 1969,1h 34min,"Aventure,Drame",U.S.A.,"3,8",8916,349,Dennis Hopper,"Peter Fonda,Dennis Hopper,Jack Nicholson,Lea Marmer,Keith Green,Sandy Brown,Phil Spector,Warren Finnerty,Luke Askew,Luana Anders,Robert Walker Jr.,Karen Black,Sabrina Scharf,Carmen Phillips,Michael Pataki,Robert Walker,Toni Basil,Bridget Fonda,Virgil Frye,Dan Haggerty,Helena Kallianiotes",,"Billy et Captain America disposent d'une grosse somme d'argent, résultat d'une importante vente de stupéfiants. Cette petite fortune permet aux deux motards d'envisager sereinement",https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/60/06/04/19106072.jpg,https://www.allocine.fr/film/fichefilm-178/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-178/similaire/
Un homme qui me plaît,Un homme qui me plaît,2 septembre 2014,1h 50min,Comédie dramatique,France,"3,4",284,38,Claude Lelouch,"Jean-Paul Belmondo,Annie Girardot,Maria Pia Conte,Marcel Bozzuffi,Farrah Fawcett,Peter Bergman,Kaz Garas,Bill Quinn (I),Arturo Dominici,Timothy Blake,Richard Basehart,Simone Renant",Francis Lai,"Au cours d'un tournage à Los Angeles, une actrice, Françoise, et un compositeur, Henri, tombent amoureux l'un de l'autre.",https://fr.web.img3.acsta.net/c_310_420/pictures/23/01/10/16/45/2561549.jpg,https://www.allocine.fr/film/fichefilm-43194/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-43194/similaire/
Z,Z,26 février 1969,2h 05min,"Drame,Historique","Algérie,France","4,1",1541,100,Costa-Gavras,"Yves Montand,Jean-Louis Trintignant,Irène Papas,Jacques Perrin,Charles Denner,Pierre Dux,Julien Guiomar,Georges Géret,Magali Noël,Bernard Fresson,Marcel Bozzuffi,Renato Salvatori,Maurice Baquet,Jean Bouise,Jean-Pierre Miquel,Jean Dasté,José Artur,Gérard Darrieu,Eva Simonet,François Périer",Mikis Theodorakis,"Un député progressiste est assassiné dans un pays méditerranéen. Le juge d'instruction s'occupant de l'enquête met en évidence, dans ce crime, la participation de l'armée et de la ",https://fr.web.img6.acsta.net/c_310_420/pictures/15/05/18/14/41/253616.jpg,https://www.allocine.fr/film/fichefilm-5493/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-5493/similaire/
Butch Cassidy et le Kid,Butch Cassidy and the Sundance Kid,6 février 1970,1h 50min,"Action,Biopic,Western",U.S.A.,"4,1",5704,162,George Roy Hill,"Paul Newman,Robert Redford,Katharine Ross,Strother Martin,Henry Jones,Jeff Corey,George Furth,Cloris Leachman,Ted Cassidy,Kenneth Mars,Donnelly Rhodes,Jody Gilbert,Timothy Scott,Don Keefer,Charles Dierkop,Nelson Olmsted,Paul Bryar,Sam Elliott,Eric Sinclair,Percy Helton",Burt Bacharach,"Au début du XXe siècle, Butch Cassidy et son ami Sundance Kid pillent les trains et les banques. Les deux malfrats élaborent un plan ingénieux qui leur permet de dévaliser deux foi",https://fr.web.img5.acsta.net/c_310_420/medias/nmedia/18/65/42/30/19648806.jpg,https://www.allocine.fr/film/fichefilm-559/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-559/similaire/
Macadam Cowboy,Midnight Cowboy,15 octobre 1969,1h 53min,Drame,U.S.A.,"4,0",4891,183,John Schlesinger,"Dustin Hoffman,Jon Voight,Ruth White,Gilman Rankin,Barnard Hughes,Sylvia Miles,John McGiver,Brenda Vaccaro,Jennifer Salt,Paul Benjamin,Gary Owens,Taylor Mead,Paul Jabara",John Barry,"Joe Buck, blond et beau gosse, quitte sa petite bourgade du Texas pour monter à New York, où il espère se faire entretenir par des femmes riches. Mais la dureté de la ville lui fai",https://fr.web.img6.acsta.net/c_310_420/pictures/16/08/03/14/48/441582.jpg,https://www.allocine.fr/film/fichefilm-17/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-17/similaire/
La Piscine,La Piscine,31 janvier 1969,2h 00min,"Policier,Drame,Romance","Italie,France","3,7",7435,215,Jacques Deray,"Alain Delon,Romy Schneider,Maurice Ronet,Jane Birkin,Paul Crauchet,Suzie Jaspard,Steve Eckhardt,Maddly Bamy,Thierry Chabert,Stéphanie Fugain",Michel Legrand,"Jean-Paul et Marianne forment un couple idéal et coulent des jours heureux dans leur villa de Saint-Tropez, jusqu'au jour où arrive Harry, au bras de sa fille l'incendiaire Pénélop",https://fr.web.img3.acsta.net/c_310_420/pictures/19/09/24/11/50/3988724.jpg,https://www.allocine.fr/film/fichefilm-4939/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-4939/similaire/
Que la bête meure,Que la bête meure,5 septembre 1969,1h 53min,"Policier,Drame,Thriller","Italie,France","4,0",1029,89,Claude Chabrol,"Michel Duchaussoy,Caroline Cellier,Jean Yanne,Anouk Ferjac,Marc Di Napoli,Louise Chevalier,Guy Marly,Lorraine Rainer,Dominique Zardi,Michel Charrel,Bernard Papineau,Robert Rondo,Jacques Masson,Maurice Pialat,Jean-Louis Maury",Pierre Jansen,"Pour venger la mort de son fils, tué par un chauffard, un homme se lance sur la piste du coupable. Il parvient bientôt à retrouver sa trace et devient un intime de sa famille. L'ho",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/60/08/50/18608144.jpg,https://www.allocine.fr/film/fichefilm-81530/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-81530/similaire/
Le Clan des Siciliens,Le Clan des Siciliens,1 décembre 1969,2h 00min,"Policier,Drame",France,"4,1",7090,200,Henri Verneuil,"Jean Gabin,Lino Ventura,Alain Delon,Sydney Chaplin,Amedeo Nazzari,André Pousse,Edward Meeks,Jacques Duby,Irina Demick,Philippe Baronnet,Yves Brainville,Gérard Buhr,Danielle Volle,Karen Blanguernon,Elisa Cegani,Raoul Delfosse,Marc Porel,André Thorent,Leopoldo Trieste,Roger Lumont,Sabine Sun,Christian de Tillière",Ennio Morricone,"Vittorio Malanese, chef du clan des Siciliens, organise l'évasion du truand Roger Sartet pour l'aider à réaliser un audacieux hold-up.",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/65/23/78/19148457.jpg,https://www.allocine.fr/film/fichefilm-20425/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-20425/similaire/
Kes,Kes,1 mai 1970,1h 50min,Drame,Grande-Bretagne,"4,1",340,37,Ken Loach,"David Bradley (II),Colin Welland,Freddie Fletcher,Lynne Perrie,Brian Glover,Bob Bowes,Bernard Atha,Geoffrey Banks",John Cameron,"Billy Casper vit dans une petite ville minière du nord-est de l'Angleterre, à Barnsley, dans le Yorkshire. Il a une douzaine d'annéeset l'univers dans lequel il vit ne correspond p",https://fr.web.img5.acsta.net/c_310_420/medias/nmedia/18/70/56/26/19103370.jpg,https://www.allocine.fr/film/fichefilm-4551/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-4551/similaire/
