title,original_title,date,duration,categories,countries,star_rating,notes,reviews,directors,actors,composers,summary,url_thumbnail,url_reviews,url_similar_movies
L'Homme Fidèle,L'Homme Fidèle,26 décembre 2018,1h 16min,"Comédie,Romance",France,"2,7",1359,106,Louis Garrel,"Louis Garrel,Laetitia Casta,Lily-Rose Depp,Joseph Engel,Diane Courseille,Vladislav Galard,Bakary Sangaré,Dali Benssalah",,"Autrefois, Marianne était amoureuse d'Abel. Puis elle a finalement choisi de faire sa vie avec Paul, le meilleur ami d'Abel. Après la mort de Paul, elle renoue avec Abel, que Josep",https://fr.web.img5.acsta.net/c_310_420/pictures/18/11/14/15/30/1917134.jpg,https://www.allocine.fr/film/fichefilm-262693/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-262693/similaire/
Les Chatouilles,Les Chatouilles,14 novembre 2018,1h 43min,Drame,France,"4,1",4375,403,"Andréa Bescond,Eric Métayer","Andréa Bescond,Karin Viard,Clovis Cornillac,Pierre Deladonchamps,Grégory Montel,Carole Franck,Gringe,Ariane Ascaride,Cyrille Mairesse,Eden Ducourant,Laura Presgurvic,Jade Phan-Gia,Alexis Michalik,Hubert Roulleau",Clément Ducol,"Odette a huit ans, elle aime danser et dessiner. Pourquoi se méfierait-elle d’un ami de ses parents qui lui propose de « jouer aux chatouilles » ? Adulte, Odette danse sa colère, l",https://fr.web.img6.acsta.net/c_310_420/pictures/18/04/27/17/19/4063863.jpg,https://www.allocine.fr/film/fichefilm-256702/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-256702/similaire/
Criminal Squad,Den Of Thieves,21 février 2018,2h 20min,"Action,Policier,Thriller",U.S.A.,"3,5",2215,176,Christian Gudegast,"Gerard Butler,Pablo Schreiber,50 Cent,O'Shea Jackson Jr.,Maurice Compte,Evan Jones,Kaiwi Lyman,Mo McRae,Brian Van Holt,Meadow Williams,Sonya Balmores,Michael Bisping,Jordan Bridges,Oleg Taktarov,Cooper Andrews,Eric Braeden,Nick Loeb,Jermaine Rivers,Michael Papajohn,Lewis Tan,Juan Gaspard,Lyon Beckwith",Cliff Martinez,"Chaque jour, 120 millions de dollars en liquide sont retirés de la circulation et détruits par la Réserve fédérale de Los Angeles. Un gang de braqueurs multirécidivistes va tenter ",https://fr.web.img2.acsta.net/c_310_420/pictures/18/01/19/09/58/3736902.jpg,https://www.allocine.fr/film/fichefilm-228972/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-228972/similaire/
Jusqu'ici tout va bien,Jusqu'ici tout va bien,27 février 2019,1h 30min,Comédie,France,"3,2",3946,358,Mohamed Hamidi,"Gilles Lellouche,Malik Bentalha,Sabrina Ouazani,Camille Lou,Anne-Elisabeth Blateau,Loïc Legendre,Hugo Becker,Harmandeep Palminder,Annabelle Lengronne,Grégoire Paturel,Karim Belkhadra,Mathéo Capelli,Nassim Lyes,Jeanne Bournaud,David Salles,Mahdi Alaoui,Tarik Lamli,Alexandre Ionescu",Ibrahim Maalouf,"Fred Bartel est le charismatique patron d’une agence de communication parisienne branchée, Happy Few. Après un contrôle fiscal houleux, il est contraint par l’administration de dél",https://fr.web.img2.acsta.net/c_310_420/pictures/19/01/22/16/47/0846339.jpg,https://www.allocine.fr/film/fichefilm-261591/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-261591/similaire/
Green Book : Sur les routes du sud,Green Book,23 janvier 2019,2h 10min,"Biopic,Drame",U.S.A.,"4,5",34542,1286,Peter Farrelly,"Viggo Mortensen,Mahershala Ali,Linda Cardellini,Sebastian Maniscalco,Dimiter D. Marinov,P.J. Byrne,Don Stark,David An,Brian Stepanek,Geraldine Singer,Iqbal Theba,David Kallaway,Tom Virtue,Ninja Devoe,Daniel Greene,Paul Sloan,Anthony Mangano,Mike Hatton,Quinn Duffy,Joe Cortese,Don DiPetta,Suehyla El-Attar,Kenneth Israel,Johnny Williams,Randal Gonzalez,Nick Vallelonga,Mike Cerrone,Sharon Landry",Kristopher Bowers,"En 1962, alors que règne la ségrégation, Tony Lip, un videur italo-américain du Bronx, est engagé pour conduire et protéger le Dr Don Shirley, un pianiste noir de renommée mondiale",https://fr.web.img3.acsta.net/c_310_420/pictures/19/02/25/17/06/0818764.jpg,https://www.allocine.fr/film/fichefilm-256661/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-256661/similaire/
My Beautiful Boy,Beautiful Boy,6 février 2019,2h 01min,Drame,U.S.A.,"4,0",2887,172,Felix Van Groeningen,"Steve Carell,Timothée Chalamet,Jack Dylan Grazer,Maura Tierney,Kaitlyn Dever,Timothy Hutton,Andre Royo,Oakley Bull,Amy Ryan,Kue Lawrence,Amy Forsyth,LisaGay Hamilton,Christian Convery,Stefanie Scott,Julian Works,Sasha Jackson,Carlton Wilborn,Michael Patrick McGill,Frederick Lawrence,Tom Choi",,"Pour David Sheff, la vie de son fils, Nicolas, un jeune homme billant, sportif, à l’esprit vif et cultivé, était déjà toute tracée : à ses 18 ans, Nic était promis à une prestigieu",https://fr.web.img6.acsta.net/c_310_420/pictures/18/12/07/16/40/2187682.jpg,https://www.allocine.fr/film/fichefilm-211892/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-211892/similaire/
Rebelles,Rebelles,13 mars 2019,1h 28min,Comédie,France,"3,5",7164,577,Allan Mauduit,"Cécile de France,Yolande Moreau,Audrey Lamy,Simon Abkarian,Samuel Jouy,Béatrice Agenin,Patrick Ridremont,Tom Lecocq,Valentin Papoudof,Michel Masiero,Martine Vandeville,Eric Godon,Hervé Mahieux",Ludovic Bource,"Sans boulot ni diplôme, Sandra, ex miss Nord-Pas-de-Calais, revient s'installer chez sa mère à Boulogne-sur-Mer après 15 ans sur la Côte d'Azur. Embauchée à la conserverie locale, ",https://fr.web.img6.acsta.net/c_310_420/pictures/19/02/28/10/35/0073353.jpg,https://www.allocine.fr/film/fichefilm-265032/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-265032/similaire/
Jusqu'à ce que la mort nous unisse,Jusqu'à ce que la mort nous unisse,27 novembre 2018,1h 30min,Drame,France,"2,8",95,18,Delphine Lemoine,"Bruno Debrandt,Ophelia Kolb,Bruno Wolkowitch,Diane Robert,François-Dominique Blin,Ilys Barillot,Stéphane Henon,Marie Le Cam,Christophe Favre,Alban Casterman",,"Le petit village de Colmars-les-Alpes est en plein émoi après la découverte du corps sans vie d’un garde moniteur du parc du Mercantour. Contre l’avis de tous, le guide de haute mo",https://fr.web.img5.acsta.net/c_310_420/pictures/21/06/23/06/27/5083633.jpg,https://www.allocine.fr/film/fichefilm-264758/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-264758/similaire/
Les Affamés,Les Affamés,27 juin 2018,1h 35min,Comédie,France,"2,0",749,134,Léa Frédeval,"Louane Emera,François Deblock,Nina Melo,Rabah Naït Oufella,Bruno Sanches,Marc Jarousseau / Kemar,Souheila Yacoub,Agnès Hurstel,Léon Garel,Rafaël De Ferran,Anne Depetrini,Pierre-François Martin-Laval,Alex Vizorek,Juliette Tresanini,Ugo Savary,Jonathan Louis",,"Zoé a 21 ans. Et Zoé en a sa claque d'entendre « c'est normal, t'es jeune ! ». Alors qu’elle emménage en colocation, elle prend conscience qu’elle n’est pas seule à se débattre ent",https://fr.web.img3.acsta.net/c_310_420/pictures/18/04/24/10/45/1195178.jpg,https://www.allocine.fr/film/fichefilm-257568/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-257568/similaire/
Upgrade,Upgrade,3 octobre 2018,1h 40min,"Science Fiction,Thriller",Australie,"4,0",3700,289,Leigh Whannell,"Logan Marshall-Green,Betty Gabriel,Harrison Gilbertson,Christopher Kirby,Benedict Hardie,Clayton Jacobson,Melanie Vallejo,Sachin Joab,Richard Cawthorne,Simon Maiden,Linda Cropper",Jed Palmer,"Après la mort de son épouse lors d'une violente agression qui l'a laissé paralysé, Grey Trace est approché par un inventeur milliardaire qui propose de lui administrer un remède ex",https://fr.web.img2.acsta.net/c_310_420/pictures/18/09/06/15/06/2427423.jpg,https://www.allocine.fr/film/fichefilm-252519/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-252519/similaire/
