title,original_title,date,duration,categories,countries,star_rating,notes,reviews,directors,actors,composers,summary,url_thumbnail,url_reviews,url_similar_movies
xXx,xXx,9 octobre 2002,2h 04min,"Action,Aventure,Thriller",U.S.A.,"2,3",13430,355,Rob Cohen,"Vin Diesel,Samuel L. Jackson,Asia Argento,Marton Csokas,Joe Bucaro,Danny Trejo,Eve,Michael Roof,Tom Everett,Richy Müller,Werner Daehn,Petr Jákl,Jan Filipensky,Thomas Ian Griffith,Leila Arcieri,William Hope,Ted Maynard,Chris Gann,Martin Hub,Mat Hoffman,Marek Vasut,F. Valentino Morales",Randy Edelman,"Après une série de tests, Xander ""XXX"" Cage, un spécialiste des sports extrêmes couvert de tatouages, est recruté par Augustus Gibbons, un agent de la National Security Agency (NSA",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/00/02/46/89/affiche.jpg,https://www.allocine.fr/film/fichefilm-39160/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-39160/similaire/
Irréversible,Irréversible,22 mai 2002,1h 37min,"Drame,Thriller",France,"3,1",14751,797,Gaspar Noé,"Monica Bellucci,Vincent Cassel,Albert Dupontel,Philippe Nahon,Mick Gondouin,Jo Prestia,Eric Moreau,Foulaux,Fatima Adoum,Jean-Louis Costes",Thomas Bangalter,"Une jeune femme, Alex, se fait violer par un inconnu dans un tunnel. Son compagnon Marcus et son ex-petit ami Pierre décident de faire justice eux-mêmes.",https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/70/81/00/19112837.jpg,https://www.allocine.fr/film/fichefilm-41769/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-41769/similaire/
La Mémoire dans la peau,The Bourne Identity,25 septembre 2002,1h 58min,"Action,Espionnage,Thriller","U.S.A.,Allemagne,République tchèque","4,0",48933,771,Doug Liman,"Matt Damon,Franka Potente,Chris Cooper,Brian Cox,Clive Owen,Gabriel Mann,Julia Stiles,Adewale Akinnuoye-Agbaje,Tim Dutton,Nicky Naude,Walton Goggins,Josh Hamilton,Orso Maria Guerrini,Rainer Werner,Paulette Frantz,Roberto Bestazzoni,Jimmy Jean-Louis,Arnaud Henriet,Jean-Yves Bilien,Kait Tenison,Gwenaël Clause,Denis Braccini,Hubert Saint-Macary,David Bamber",John Powell,"Sur la côte adriatique, un petit bateau de pêche repère le corps inanimé d'un homme ballotté par les flots. Des marins s'empressent de le repêcher. Portant des traces de balles dan",https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/00/02/48/77/affiche2.jpg,https://www.allocine.fr/film/fichefilm-29071/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-29071/similaire/
Le Pianiste,The Pianist,25 septembre 2002,2h 28min,"Drame,Historique","France,Grande-Bretagne,Allemagne,Pologne","4,4",51161,872,Roman Polanski,"Adrien Brody,Thomas Kretschmann,Emilia Fox,Ed Stoppard,Frank Finlay,Valentine Pelka,Maureen Lipman,Ronan Vibert,Joachim Paul Assböck,Nina Franoszek,Michal Zebrowski,Andrew Tiernan,Paul Bradley (IV),Zbigniew Zamachowski,Katarzyna Figura,Udo Kroschwald,Andrzej Szenajch,Popeck,Katarzyna Bargielowska,Ruth Platt,Daniel Caltagirone,Anthony Milner,Richard Ridings,Uwe Rathsam,Peter Rappenglück,Rafal Mohr,Cyril Shaps",Wojciech Kilar,"Durant la Seconde Guerre mondiale, Wladyslaw Szpilman, un célèbre pianiste juif polonais, échappe à la déportation mais se retrouve parqué dans le ghetto de Varsovie dont il partag",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/00/02/46/23/affiche.jpg,https://www.allocine.fr/film/fichefilm-28359/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-28359/similaire/
28 jours plus tard,28 Days Later,28 mai 2003,1h 52min,"Epouvante-horreur,Science Fiction",Grande-Bretagne,"3,8",27947,1098,Danny Boyle,"Cillian Murphy,Naomie Harris,Christopher Eccleston,Megan Burns,Noah Huntley,Alexander Delamere,Kim McGarrity,Emma Hitching,Christopher Dunne,Brendan Gleeson,David Schneider,Ricci Harnett,Luke Mably,Ray Panthaki,Leo Bill,Stuart McQuarrie,Alex Palmer,Paul Kasey",John Murphy,Un commando de la Protection Animale fait irruption dans un laboratoire top secret pour délivrer des dizaines de chimpanzés soumis à de terribles expériences. Mais aussitôt libérés,https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/35/07/76/affiche.jpg,https://www.allocine.fr/film/fichefilm-46940/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-46940/similaire/
La Cité de Dieu,Cidade de Deus,12 mars 2003,2h 15min,"Policier,Drame",Brésil,"4,2",22935,572,"Fernando Meirelles,Kátia Lund","Alexandre Rodrigues,Leandro Firmino da Hora,Seu Jorge,Alice Braga,Matheus Nachtergaele,Douglas Silva,Jonathan Haagensen,Darlan Cunha,Graziela Moretto,Roberta Rodrigues,Gero Camilo,Babu Santana,Charles Paraventi,Phellipe Haagensen,Thiago Martins,Daniel Zettel,Marcos 'Kikito' Junqueira,Danielle Ornelas,Olivia Araújo,Antonio Rodrigues",Antonio Pinto,"Dans une favela qui a vu le jour à Rio de Janeiro dans les années soixante, Fusée est un gamin noir, pauvre, trop fragile pour devenir hors-la-loi, mais assez malin pour ne pas se ",https://fr.web.img3.acsta.net/c_310_420/img/f7/23/f7234f97c7bd49f26c466c606f697a8f.jpg,https://www.allocine.fr/film/fichefilm-45264/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-45264/similaire/
7 ans de mariage,7 ans de mariage,25 juin 2003,1h 37min,Comédie,France,"2,3",2918,168,Didier Bourdon,"Didier Bourdon,Catherine Frot,Jacques Weber,Yan Duffas,Jacques Herlin,Michèle Moretti,Philippe Brigaud,Thierry Bosc,Geneviève Brunet,Isabelle Petit-Jacques,Edea Darcque,Marie Piton,Olivier Pajot,Maxime Lombard,Beata Nilska,Jean-Claude Tran,Bonnafet Tarbouriech,Valérie Leboutte,Sylvie Lachat,Adrien Saint-Joré,Véronique Barrault,Françoise Lépine","Laurent Bertaud,Jean-Charles Laurent,Jean-Christophe Prudhomme","Mariés depuis sept ans, Audrey et Alain s'enlisent dans la routine. Ils ont une petite fille, Camille, et travaillent tous les deux. La vie quotidienne a usé leur désir. Audrey est",https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/35/09/93/affiche.jpg,https://www.allocine.fr/film/fichefilm-50582/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-50582/similaire/
Calculs meurtriers,Murder by numbers,5 juin 2002,1h 58min,"Policier,Thriller",U.S.A.,"2,6",1856,149,Barbet Schroeder,"Sandra Bullock,Ryan Gosling,Michael Pitt,Ben Chaplin,Chris Penn,R.D. Call,Tom Verica,John Vickery,Neal Matarazzo,Agnes Bruckner,Janni Brenn,Michael Canavan,Jim Jansen,Sharon Madden,John Doolittle,Christine Healy,Nick Offerman,Adilah Barnes,Brian Stepanek,Dennis Cockrum,Eric Saiet,Ralph Seymour",Clint Mansell,"Le corps d'une jeune femme est retrouvé au fond d'un fossé, dans les bois de San Benito, une petite bourgade située sur la côte californienne. L'inspecteur Cassie Mayweather, vétér",https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/00/02/44/85/calculs.jpg,https://www.allocine.fr/film/fichefilm-28687/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-28687/similaire/
The Hours,The Hours,19 mars 2003,1h 54min,"Drame,Romance","U.S.A.,Grande-Bretagne","3,7",7535,273,Stephen Daldry,"Nicole Kidman,Julianne Moore,Meryl Streep,Ed Harris,Claire Danes,Toni Collette,Eileen Atkins,Stephen Dillane,John C. Reilly,Miranda Richardson,Jeff Daniels,Christian Coulson,Linda Bassett,Margo Martindale,Daniel Brocklebank,Jack Rovello,Michael Culkin,Colin Stinton,Lyndsey Marshal,Allison Janney",Philip Glass,"Dans la banlieue de Londres, au début des années vingt, Virginia Woolf lutte contre la folie qui la guette. Elle entame l'écriture de son grand roman, Mrs Dalloway.",https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/00/02/59/28/affiche.jpg,https://www.allocine.fr/film/fichefilm-29157/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-29157/similaire/
Spider-Man,Spider-Man,12 juin 2002,2h 01min,"Action,Fantastique",U.S.A.,"4,0",74478,1198,Sam Raimi,"Tobey Maguire,Willem Dafoe,Kirsten Dunst,James Franco,J.K. Simmons,Cliff Robertson,Rosemary Harris,Ted Raimi,Bill Nunn,Bruce Campbell,Randy Savage,Peter Appel,Lucy Lawless,Macy Gray,Joe Manganiello,Gerry Becker,Jack Betts,Stanley Anderson,Ron Perkins,Michael Papajohn,K.K. Dodds,Elizabeth Banks,Tim de Zarn,Larry Joshua,Timothy Patrick Quill,Jason Padgett,Sally Livingstone",Danny Elfman,"Orphelin, Peter Parker est élevé par sa tante May et son oncle Ben dans le quartier Queens de New York. Tout en poursuivant ses études à l'université, il trouve un emploi de photog",https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/00/00/00/33/spiderman.jpg,https://www.allocine.fr/film/fichefilm-29007/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-29007/similaire/
