title,original_title,date,duration,categories,countries,star_rating,notes,reviews,directors,actors,composers,summary,url_thumbnail,url_reviews,url_similar_movies
Music Box,Music Box,28 février 1990,2h 05min,Drame,U.S.A.,"3,9",725,67,Costa-Gavras,"Jessica Lange,Armin Mueller-Stahl,Frederic Forrest,Lukas Haas,Donald Moffat,Cheryl Lynn Bruce,Michael Rooker,Mari Töröcsik,Ned Schmidtke,Sol Frieder,Michael Shillo,Elzbieta Czyzewska",Philippe Sarde,"Ann Talbot, brillante avocate de Chicago, est amenée à défendre son père, poursuivi pour crimes de guerre. Michael Laszlo a fui la Hongrie à la fin de la Seconde Guerre mondiale et",https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/images/affiches/014410.jpg,https://www.allocine.fr/film/fichefilm-5424/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-5424/similaire/
Le Cercle des poètes disparus,Dead Poets Society,17 janvier 1990,2h 08min,"Comédie,Comédie dramatique,Drame",U.S.A.,"4,3",53586,777,Peter Weir,"Robin Williams,Ethan Hawke,Robert Sean Leonard,Josh Charles,Gale Hansen,Dylan Kussman,Allelon Ruggiero,James Waterston,Lara Flynn Boyle,Norman Lloyd,Kurtwood Smith,Leon Pownall,George Martin,Alexandra Powers,Melora Walters,Jamie Kennedy,Bill Rowe,Barry Godin,Alan Pottinger,Debra Mooney",Maurice Jarre,"Todd Anderson, un garçon plutôt timide, est envoyé dans la prestigieuse académie de Welton, réputée pour être l'une des plus fermées et austères des États-Unis, là où son frère ava",https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/00/02/48/82/affiche.jpg,https://www.allocine.fr/film/fichefilm-5280/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-5280/similaire/
Trop belle pour toi,Trop belle pour toi,12 mai 1989,1h 32min,Comédie dramatique,France,"3,1",988,85,Bertrand Blier,"Josiane Balasko,Gérard Depardieu,Carole Bouquet,François Cluzet,Roland Blanche,Didier Bénureau,Myriam Boyer,Sylvie Orcier,Denise Chalem,Jean-Paul Farré,Stephane Auberghen,Philippe Faure",Francis Lai,"Bernard, chef d'entreprise, est marié à une très belle femme, Florence. Il tombe pourtant amoureux de Colette, sa secrétaire au physique plus ordinaire, et cette relation va boulev",https://fr.web.img5.acsta.net/c_310_420/medias/nmedia/18/36/06/13/18449320.jpg,https://www.allocine.fr/film/fichefilm-4735/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-4735/similaire/
Blue Steel,Blue Steel,25 avril 1990,1h 40min,"Action,Policier,Thriller",U.S.A.,"2,4",554,70,Kathryn Bigelow,"Jamie Lee Curtis,Ron Silver,Clancy Brown,Tom Sizemore,Richard Jenkins,Philip Bosco,Elizabeth Peña,Louise Fletcher,Chris Walker,Mike Hodge,Mike Starr,Matt Craven,Lauren Tom,Kevin Dunn,Mary Mara,Markus Flanagan,David Ilku",Brad Fiedel,"Jeune recrue de la police, Megan Turner abat un voyou en plein flagrant délit de hold-up. Ne pouvant prouver qu'elle était en état de légitime défense, la jeune femme se voit suspe",https://fr.web.img3.acsta.net/c_310_420/pictures/16/09/16/16/30/127567.jpg,https://www.allocine.fr/film/fichefilm-5597/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-5597/similaire/
Retour vers le futur II,Back to the Future Part II,20 décembre 1989,1h 48min,"Aventure,Comédie,Science Fiction",U.S.A.,"4,3",66752,769,Robert Zemeckis,"Michael J. Fox,Christopher Lloyd,Lea Thompson,Thomas F. Wilson,Elisabeth Shue,James Tolkan,Jeffrey Weissman,Billy Zane,J.J. Cohen,Casey Siemaszko,Charles Fleischer,Jason Scott Lee,Elijah Wood,Flea,Joe Flaherty",Alan Silvestri,"Lors de son premier voyage en 1985, Marty a commis quelques erreurs. L'avenir qu'il s'était tracé n'est pas si rose, et son rejeton est tombé sous la coupe du voyou Griff Tannen, q",https://fr.web.img6.acsta.net/c_310_420/pictures/22/07/22/15/26/3322260.jpg,https://www.allocine.fr/film/fichefilm-5247/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-5247/similaire/
Kiki la petite sorcière,Majo no takkyubin,31 mars 2004,1h 42min,"Aventure,Animation,Famille,Fantastique",Japon,"4,0",14053,310,,,,"Chez Kiki, treize ans, on est sorcière de mère en fille. Mais pour avoir droit à ce titre, Kiki doit faire son apprentissage : elle doit quitter les siens pendant un an et leur pro",https://fr.web.img6.acsta.net/c_310_420/pictures/21/02/09/12/38/4332138.jpg,https://www.allocine.fr/film/fichefilm-40137/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-40137/similaire/
"Chérie, j'ai rétréci les gosses","Honey, I Shrunk the Kids",7 février 1990,1h 34min,Comédie,U.S.A.,"3,1",17008,163,Joe Johnston,"Rick Moranis,Marcia Strassman,Robert Oliveri,Kimmy Robertson,Matt Frewer,Amy O'Neill,Thomas Wilson Brown,Carl Stevens,Mark L. Taylor,Lou Cutell,Jared Rushton,Kristine Sutherland",James Horner,Le facétieux professeur Wayne Szalinski a encore transformé sa maison en un vaste laboratoire et sa famille en cobayes. Sa dernière trouvaille: un rayon laser capable de rétrécir l,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/63/94/82/19631812.jpg,https://www.allocine.fr/film/fichefilm-5408/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-5408/similaire/
S.O.S Fantômes 2,Ghostbusters II,16 juin 1989,1h 42min,"Action,Aventure,Comédie,Fantastique",U.S.A.,"3,4",9603,294,Ivan Reitman,"Bill Murray,Dan Aykroyd,Sigourney Weaver,Harold Ramis,Rick Moranis,Ernie Hudson,Annie Potts,Peter MacNicol,David Margulies,Harris Yulin,Janet Margolin,Bobby Brown,Cheech Marin,Brian Doyle-Murray,Ben Stein,Philip Baker Hall,Michael P. Moran,Mordecai Lawner,Aaron Lustig,Page Leong,Catherine Reitman,Dave Florek,Walter Flanagan,Ralph Monaco,John Hammil",Randy Edelman,"Après l'extermination totale de tous les revenants dans la ville de New York, la joyeuse équipe de S.O.S Fantômes reprend du service (après un chômage technique long de cinq ans) q",https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/66/66/05/19681937.jpg,https://www.allocine.fr/film/fichefilm-102319/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-102319/similaire/
Indiana Jones et la Dernière Croisade,Indiana Jones and the Last Crusade,18 octobre 1989,2h 07min,"Action,Aventure",U.S.A.,"4,4",67307,877,Steven Spielberg,"Harrison Ford,Sean Connery,Denholm Elliott,John Rhys-Davies,Alison Doody,Julian Glover,River Phoenix,Michael P. Byrne,Kevork Malikyan,Robert Eddison,Richard Young,Michael Sheard,Alexei Sayle,Vernon Dobtcheff,Alex Hyde-White,Paul Maxwell,Marc Miles,Ted Grossman,Bradley Gregg,Isla Blair,Jeff O'Haco,Pat Roach,Eugene Lipinski,Billy Mitchell,Jerry Harte",John Williams,"L'archéologue aventurier Indiana Jones se retrouve aux prises avec un maléfique milliardaire. Aux côtés de la cupide Elsa et de son père, il part à la recherche du Graal.",https://fr.web.img5.acsta.net/c_310_420/medias/nmedia/18/65/88/40/18895516.jpg,https://www.allocine.fr/film/fichefilm-5032/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-5032/similaire/
Abyss,The Abyss,27 septembre 1989,2h 45min,"Aventure,Drame,Science Fiction",U.S.A.,"4,1",23982,508,James Cameron,"Ed Harris,Mary Elizabeth Mastrantonio,Michael Biehn,Todd Graff,Leo Burmester,John Bedford Lloyd,J.C. Quinn,Kimberly Scott,Michael Beach,Chris Elliott,Brad Sullivan,Frank Lloyd,Jimmie Ray Weeks,Michael Chapman (I),Ken Jenkins,J. Kenneth Campbell,Peter Ratray,Tom Isbell,Dick Warlock,Adam Nelson,Emily Yancy,Thomas F. Duffy,Joe Farago","Alan Silvestri,Robert Garrett","Un commando de la Marine américaine débarque à bord de la station de forage sous-marine DeepCore, afin de porter secours à un sous-marin échoué dans les profondeurs. L'équipe de Bu",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/36/08/77/19178897.jpg,https://www.allocine.fr/film/fichefilm-4992/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-4992/similaire/
Batman,Batman,13 septembre 1989,2h 05min,"Action,Fantastique,Thriller","Grande-Bretagne,U.S.A.","3,9",37480,946,Tim Burton,"Michael Keaton,Kim Basinger,Jack Nicholson,Jack Palance,Michael Gough,Billy Dee Williams,Robert Wuhl,Pat Hingle,Jerry Hall,Tracey Walter,William Hootkins,Richard Strange,Carl Chase,Philip Tan,Christopher Fairbank,Lee Wallace","Danny Elfman,Prince","Le célèbre et impitoyable justicier, Batman, est de retour. Plus beau, plus fort et plus dépoussiéré que jamais, il s'apprête à nettoyer Gotham City et à affronter le terrible Joke",https://fr.web.img5.acsta.net/c_310_420/pictures/22/10/07/09/47/0708130.jpg,https://www.allocine.fr/film/fichefilm-4966/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-4966/similaire/
"Sexe, mensonges et vidéo","Sex, Lies and Videotape",4 octobre 1989,1h 36min,Comédie dramatique,U.S.A.,"3,4",5172,154,Steven Soderbergh,"Andie MacDowell,James Spader,Peter Gallagher,Laura San Giacomo,Ron Vawter,Steven Brill,David Foil,Alexandra Root",Cliff Martinez,"Graham Dalton collectionne les interviews video de femmes qui racontent sans embages leur vie sexuelle. De retour dans sa ville natale il retrouve un ancien copain de fac qui a ""re",https://fr.web.img5.acsta.net/c_310_420/pictures/22/01/06/14/34/4973344.jpg,https://www.allocine.fr/film/fichefilm-5012/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-5012/similaire/
Quand Harry rencontre Sally,When Harry Met Sally,15 novembre 1989,1h 36min,"Comédie,Romance",U.S.A.,"3,8",15068,239,Rob Reiner,"Billy Crystal,Meg Ryan,Carrie Fisher,Bruno Kirby,Steven Ford,Lisa Jane Persky,Michelle Nicastro,Kevin Rooney,Franc Luz,Tracy Reiner,Kyle T. Heffner,Harley Jane Kozak,Robert Alan Beuth,Gretchen Palmer","Marc Shaiman,Harry Connick Jr","Harry et Sally s'entendent comme chien et chat. Après la fac ils prennent la même destination, New York, mais ne se reverront que cinq ans plus tard, par hasard, dans un aéroport. ",https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/36/22/12/18751852.jpg,https://www.allocine.fr/film/fichefilm-32035/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-32035/similaire/
Allo maman ici bébé,Look Who's Talking,4 avril 1990,1h 38min,"Comédie,Romance",U.S.A.,"2,5",3005,106,Amy Heckerling,"Kirstie Alley,John Travolta,Jason Schaller,Olympia Dukakis,Abe Vigoda,George Segal,William B. Davis,Don S. Davis",David Kitay,"Mollie tombe enceinte d'Albert, un homme marié. Ce dernier décide de rester avec son épouse et cette nouvelle provoque l'accouchement de son ancienne maîtresse ! Le taxi qui amène ",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/65/85/12/19126198.jpg,https://www.allocine.fr/film/fichefilm-5563/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-5563/similaire/
