title,original_title,date,duration,categories,countries,star_rating,notes,reviews,directors,actors,composers,summary,url_thumbnail,url_reviews,url_similar_movies
365 jours : Au lendemain,365 Dni 2,27 avril 2022,1h 46min,"Drame,Erotique,Romance",Pologne,"1,2",652,125,"Barbara Bialowas,Tomasz Mandes","Michele Morrone,Anna-Maria Sieklucka,Simone Susinna,Magdalena Lamparska,Kamil Lemieszewski,Otar Saralidze,Dariusz Jakubowski,Ramon Langa,Robert Wabich",,Laura et Massimo sont repris par la passion. Mais ce nouveau départ du couple est compliqué par les liens familiaux de Massimo et par un mystérieux individu bien décidé à ravir le ,https://fr.web.img3.acsta.net/c_310_420/pictures/22/04/27/21/58/0515920.jpg,https://www.allocine.fr/film/fichefilm-281810/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-281810/similaire/
I Came By,I Came By,31 août 2022,1h 50min,Thriller,Grande-Bretagne,"3,0",860,108,Babak Anvari,"Hugh Bonneville,George MacKay,Kelly Macdonald,Varada Sethu,Antonio Aakeel,Percelle Ascott,Peter Bramhill,Paddy Wallace,Amerjit Deu",Isobel Waller-Bridge,"Un jeune graffeur rebelle qui s'attaque aux demeures de l'élite londonienne tombe sur un sombre secret qui va le mettre en danger, ainsi que ses proches.",https://fr.web.img6.acsta.net/c_310_420/pictures/22/08/02/11/10/4267358.jpg,https://www.allocine.fr/film/fichefilm-294690/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-294690/similaire/
En roue libre,En roue libre,29 juin 2022,1h 29min,Comédie,France,"3,5",1455,145,Didier Barcelo,"Marina Foïs,Benjamin Voisin,Jean-Charles Clichet,Albert Delpy,Jean-Pierre Martins,Candice Bouchet,Ariane Mourier,Emilie Arthapignet,Valentin Papoudof,Clémence Bretécher,Aleksandra Yermak,Gaïa Warnant",Peter Von Poehl,"La folle histoire de Louise qui se retrouve un beau matin, prise au piège dans sa propre voiture, terrassée par une attaque de panique dès qu’elle veut en sortir, et de Paul qui vo",https://fr.web.img6.acsta.net/c_310_420/pictures/22/05/31/09/44/2379206.jpg,https://www.allocine.fr/film/fichefilm-291127/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-291127/similaire/
Tirailleurs,Tirailleurs,4 janvier 2023,1h 41min,"Drame,Historique,Guerre","France,Sénégal","2,6",4866,945,Mathieu Vadepied,"Omar Sy,Alassane Diong,Jonas Bloquet,Bamar Kane,Alassane Sy,Aminata Wone,Oumar Sey,Ibrahima Ba,François Chattot,Renaud Calvet,Nicolas Djermag",Alexandre Desplat,"1917. Bakary Diallo s'enrôle dans l'armée française pour rejoindre Thierno, son fils de 17 ans, qui a été recruté de force. Envoyés sur le front, père et fils vont devoir affronter",https://fr.web.img3.acsta.net/c_310_420/pictures/22/11/10/15/28/1377509.jpg,https://www.allocine.fr/film/fichefilm-289236/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-289236/similaire/
Winnie-The-Pooh: Blood And Honey,Winnie-The-Pooh: Blood And Honey,18 juillet 2023,1h 24min,Epouvante-horreur,Grande-Bretagne,"1,1",721,141,Rhys Frake-Waterfield,"Nikolai Leon,Craig David Dowsett,Maria Taylor,Amber Doig-Thorne,Natasha Tosini,May Kelly,Chris Cordell,Danielle Scott,Bao Tieu",,"Winnie l'Ourson et Porcinet ont bien grandi, ils sont devenus des créatures profondément sauvages depuis que Jean-Christophe les a abandonnés pour aller à l'université. Ils ont dév",https://fr.web.img3.acsta.net/c_310_420/pictures/22/12/19/12/46/3287308.jpg,https://www.allocine.fr/film/fichefilm-304992/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-304992/similaire/
Les Goûts et les couleurs,Les Goûts et les couleurs,22 juin 2022,1h 50min,Comédie,France,"3,4",880,97,Michel Leclerc,"Rebecca Marder,Félix Moati,Judith Chemla,Philippe Rebbot,Eye Haïdara,Artus,Baya Kasmi,François Morel,Héloïse Janjaud,Sarah Le Picard,Pénélope Rose,Lucas Bléger,Francis Leplay,Claire Dumas,Anne-Gaëlle Jourdain,Grégoire Tachnakian,Édouard Sulpice","Jérôme Bensoussan,David Gubitsch","Marcia, jeune chanteuse passionnée, enregistre un album avec son idole Daredjane, icône rock des années 1970, qui disparait soudainement. Pour sortir leur album, elle doit convainc",https://fr.web.img5.acsta.net/c_310_420/pictures/22/05/05/13/17/5959045.jpg,https://www.allocine.fr/film/fichefilm-292312/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-292312/similaire/
Overdose,Overdose,4 novembre 2022,1h 59min,"Action,Thriller",France,"2,5",1077,211,Olivier Marchal,"Sofia Essaïdi,Assaad Bouab,Alberto Ammann,Nicolas Cazalé,Nassim Lyes,Naïma Rodric,Kool Shen,Moussa Mansaly,Zoé Marchal,Simon Abkarian,Frédéric Fix,Philippe Corti,Carlos Bardem,Salem Kali,Catherine Allegret,Olivier Barthelemy,Amir El Kacem,Francis Renaud,Yvan Sorel,Cédric Omont,Marie Chauvin,Adama Bathily",Erwann Kermorvant,"Sara, cheffe de la brigade des stupéfiants de la police de Toulouse, enquête sur un go-fast entre l'Espagne et la France, au sein duquel son ancien amant, Raynal, est infiltré. Ell",https://fr.web.img6.acsta.net/c_310_420/pictures/22/10/10/11/21/1576778.jpg,https://www.allocine.fr/film/fichefilm-297798/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-297798/similaire/
Le Torrent,Le Torrent,30 novembre 2022,1h 41min,"Policier,Drame,Thriller",France,"3,0",1520,221,Anne Le Ny,"José Garcia,André Dussollier,Capucine Valmary,Christiane Millet,Ophelia Kolb,Anne Le Ny,Zéphyr Elis,Victor Pontecorvo,Florence Muller,Claude Guyonnet",Benjamin Esdraffo,"Lorsqu’Alexandre découvre que sa jeune épouse, Juliette, le trompe, une violente dispute éclate. Juliette s’enfuit dans la nuit et fait une chute mortelle. Le lendemain, des pluies",https://fr.web.img3.acsta.net/c_310_420/pictures/22/09/08/17/00/1731932.jpg,https://www.allocine.fr/film/fichefilm-286354/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-286354/similaire/
Treize vies,Thirteen Lives,5 août 2022,2h 27min,Drame,"Grande-Bretagne,U.S.A.,Thaïlande","4,1",1476,94,Ron Howard,"Colin Farrell,Viggo Mortensen,Joel Edgerton,Tom Bateman,Josh Helman,Zahra Newman,Vithaya Pansringarm,Lewis Fitz-Gerald,Paul Gleeson,Sahajak Boonthanakit,Teeradon Supapunpinyo,Sukollawat Kanarot,Nophand Boonyai",Benjamin Wallfisch,"L'incroyable histoire vraie de l'immense effort mondial pour sauver une jeune équipe de football thaïlandaise, qui s'est retrouvée piégée dans la grotte de Tham Luang à cause d'une",https://fr.web.img2.acsta.net/c_310_420/pictures/22/07/29/11/31/0206747.jpg,https://www.allocine.fr/film/fichefilm-282400/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-282400/similaire/
L'Origine du mal,L'Origine du mal,5 octobre 2022,2h 03min,"Drame,Thriller","France,Canada","3,5",2315,219,Sébastien Marnier,"Laure Calamy,Doria Tillier,Dominique Blanc,Jacques Weber,Suzanne Clément,Céleste Brunnquell,Véronique Ruggia Saura,Naidra Ayadi,Clotilde Mollet","Pierre Lapointe,Philippe Brault","Dans une luxueuse villa en bord de mer, une jeune femme modeste retrouve une étrange famille : un père inconnu et très riche, son épouse fantasque, sa fille, une femme d’affaires a",https://fr.web.img5.acsta.net/c_310_420/pictures/22/08/25/09/51/4507898.jpg,https://www.allocine.fr/film/fichefilm-285265/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-285265/similaire/
