title,original_title,date,duration,categories,countries,star_rating,notes,reviews,directors,actors,composers,summary,url_thumbnail,url_reviews,url_similar_movies
A Real Pain,A Real Pain,2025-02-26,89,['Comédie dramatique'],['U.S.A.'],3.5,1249,157,['Jesse Eisenberg'],"['Jesse Eisenberg', 'Kieran Culkin', 'Will Sharpe', 'Jennifer Grey', 'Kurt Egyiawan', 'Liza Sadovy', 'Daniel Oreskes', 'Ellora Torchia', 'Marek Kasprzyk']",[],Deux cousins aux caractères diamétralement opposés - David et Benji - se retrouvent à l’occasion d’un voyage en Pologne afin d’honorer la mémoire de leur grand-mère bien-aimée. Leu,https://fr.web.img4.acsta.net/c_310_420/img/e2/fe/e2fef695bb16493195f32c606ceaf275.jpg,https://www.allocine.fr/film/fichefilm-307411/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-307411/similaire/
À bicyclette !,À bicyclette !,2025-02-26,89,['Comédie dramatique'],['France'],4.1,1571,542,['Mathias Mlekuz'],"['Mathias Mlekuz', 'Philippe Rebbot', 'Josef Mlekuz', 'Adriane Gradziel', 'Marziyeh Rezaei', 'Laurent Jouault']",['Pascal Lengagne'],"De l’Atlantique à la mer Noire, Mathias embarque son meilleur ami Philippe dans un road trip à bicyclette. Ensemble ils vont refaire le voyage que Youri, son fils, avait entrepris ",https://fr.web.img2.acsta.net/c_310_420/img/9c/f8/9cf8cf27a2706be4849760190dddd37b.jpg,https://www.allocine.fr/film/fichefilm-323031/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-323031/similaire/
La Vie devant moi,La Vie devant moi,2025-02-26,91,"['Drame', 'Historique']",['France'],3.7,382,94,['Nils Tavernier'],"['Guillaume Gallienne', 'Violette Guillon', ""Adeline D'Hermy"", 'Sandrine Bonnaire', 'Laurent Bateau', 'Claude Mathieu', 'Rod Paradot', 'Bernard Le Coq']","['Baptiste Colleu', 'Pierre Colleu']","En 1942, Tauba, une adolescente pleine d’énergie, échappe de justesse avec ses parents à la rafle du Vel d’Hiv. Un couple, les Dinanceau, leur propose de les cacher provisoirement ",https://fr.web.img3.acsta.net/c_310_420/img/af/10/af1099ea1c5bf399ba4587afd4683474.jpg,https://www.allocine.fr/film/fichefilm-288262/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-288262/similaire/
Queer,Queer,2025-02-26,136,['Comédie dramatique'],"['U.S.A.', 'Italie']",2.8,556,81,['Luca Guadagnino'],"['Daniel Craig', 'Drew Starkey', 'Jason Schwartzman', 'Henrique Zaga', 'Colin Bates', 'Simon Rizzoni', 'Daan De Wit', 'Drew Droege', 'Ariel Schulman', 'Lesley Manville', 'Lisandro Alonso', 'David Lowery']","['Atticus Ross', 'Trent Reznor']","Dans le Mexico des années 50, Lee, un américain, mène une vie désabusée au sein d'une communauté d’expatriés. L'arrivée du jeune Allerton va bouleverser l’existence de Lee, et fair",https://fr.web.img6.acsta.net/c_310_420/img/c7/ab/c7ab387810a54ca7b21c6aa7c1af53ca.jpg,https://www.allocine.fr/film/fichefilm-199453/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-199453/similaire/
L’Attaque des titans : La dernière attaque,Shingeki no Kyojin: The Last Attack,2025-03-01,145,"['Action', 'Animation', 'Drame']",['Japon'],4.5,100,9,['Yuichiro Hayashi'],[],[],"Depuis des décennies, l'humanité subsiste docilement derrière de gigantesques murs érigés pour la protéger de la menace de créatures monstrueuses nommées ""titans"". Mais ce siècle d",https://fr.web.img6.acsta.net/c_310_420/img/85/87/8587ee48e2e8f521fd4afbf7894715e5.jpg,https://www.allocine.fr/film/fichefilm-1000009662/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-1000009662/similaire/
Becoming Led Zeppelin,Becoming Led Zeppelin,2025-02-26,122,"['Documentaire', 'Musical']",['Grande-Bretagne'],4.0,96,18,['Bernard MacMahon'],"['Robert Plant', 'Jimmy Page', 'John Paul Jones', 'John Bonham']",[],"Becoming Led Zeppelin explore les origines du groupe iconique ainsi que son ascension fulgurante et inattendue, en à peine un an. Avec des images d’archives et des performances mus",https://fr.web.img2.acsta.net/c_310_420/img/7d/d0/7dd0107cb045903cb63a64b90f1375e6.jpg,https://www.allocine.fr/film/fichefilm-295068/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-295068/similaire/
Yōkai - le monde des esprits,Spirit World,2025-02-26,94,"['Comédie dramatique', 'Fantastique']","['France', 'Japon', 'Singapour']",3.0,157,27,['Eric Khoo'],"['Catherine Deneuve', 'Yutaka Takenouchi', 'Masaaki Sakai', 'Jun Fubuki', 'Denden', 'Keiichi Suzuki', 'Maiya Goshima', 'Haruto Yoshida']","['Christopher Khoo', 'Kevin Mathews', 'Christine Sham', 'Jeanne Cherhal']","Claire, une célèbre chanteuse, s’envole au Japon pour un dernier concert à guichet fermé. Lorsque le concert prend fin, sa vie sur terre s’arrête aussi. Une nouvelle vie inattendue",https://fr.web.img2.acsta.net/c_310_420/img/b5/c1/b5c15f866989b190741047a03abafecc.jpg,https://www.allocine.fr/film/fichefilm-325538/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-325538/similaire/
Bonjour l’asile,Bonjour l’asile,2025-02-26,107,['Comédie'],['France'],3.6,141,41,['Judith Davis'],"['Judith Davis', 'Claire Dumas', 'Maxence Tual', 'Simon Bakhouche', 'Nadir Legrand', 'Mélanie Bestel']",['François Ernie'],"Jeanne quitte quelques jours le stress de la vie urbaine pour aller voir sa grande amie Elisa, récemment installée à la campagne. Au cœur des bois voisins, un château abandonné dev",https://fr.web.img4.acsta.net/c_310_420/img/e1/dc/e1dcf7edfcb78368c6a6103d19d91842.jpg,https://www.allocine.fr/film/fichefilm-305784/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-305784/similaire/
Parasite,Gisaengchung,2019-06-05,132,"['Drame', 'Thriller']",['Corée du Sud'],4.5,30512,1475,['Bong Joon Ho'],"['Song Kang-Ho', 'Woo-sik Choi', 'Park So-Dam', 'Sun-kyun Lee', 'Chang Hyae Jin', 'Cho Yeo-jeong', 'Ji-so Jung', 'Jung Hyeon-jun', 'Jeong-eun Lee', 'Seo-Joon Park', 'Andreas Fronk', 'Myeong-hoon Park']",['Jaeil Jung'],"Toute la famille de Ki-taek est au chômage, et s’intéresse fortement au train de vie de la richissime famille Park. Un jour, leur fils réussit à se faire recommander pour donner d",https://fr.web.img5.acsta.net/c_310_420/pictures/20/02/12/13/58/3992754.jpg,https://www.allocine.fr/film/fichefilm-255238/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-255238/similaire/
