title,original_title,date,duration,categories,countries,star_rating,notes,reviews,directors,actors,composers,summary,url_thumbnail,url_reviews,url_similar_movies
Dis-moi juste que tu m'aimes,Dis-moi juste que tu m'aimes,19 février 2025,1h 51min,Drame,France,"3,0",255,55,Anne Le Ny,"Omar Sy,Élodie Bouchez,Vanessa Paradis,José Garcia,Sophie Ricci,Erwan Maillot",Benjamin Esdraffo,"Au bout de quinze ans de mariage, une crise met à l’épreuve l’union de Julien et Marie. Dans le couple, cette dernière a toujours été celle qui aimait le plus, aussi, au moment où ",https://fr.web.img5.acsta.net/c_310_420/img/42/cd/42cdd3681d50bd26b297b68445a68dfc.jpg,https://www.allocine.fr/film/fichefilm-321257/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-321257/similaire/
Mercato,Mercato,19 février 2025,1h 59min,"Comédie dramatique,Thriller",France,"2,7",389,110,Tristan Séguéla,"Jamel Debbouze,Monia Chokri,Hakim Jemili,Milo Machado-Graner,Vincent Rottiers,Stéphane Bak,Birane Ba,Wilhem Juillerat,Marie Papillon",Amine Bouhafa,"Mercato nous plonge dans les coulisses du football d’aujourd’hui, industrie planétaire où les intérêts se chiffrent en milliards. Driss, agent de joueurs, a sept jours pour sauver ",https://fr.web.img3.acsta.net/c_310_420/img/6d/d2/6dd27c0509edb48b13cc65d51915a1fe.jpg,https://www.allocine.fr/film/fichefilm-325648/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-325648/similaire/
