title,original_title,date,duration,categories,countries,star_rating,notes,reviews,directors,actors,composers,summary,url_thumbnail,url_reviews,url_similar_movies
Paddington,Paddington,3 décembre 2014,1h 35min,"Animation,Comédie,Famille","France,Grande-Bretagne","3,8",5773,410,Paul King,"Hugh Bonneville,Sally Hawkins,Nicole Kidman,Julie Walters,Peter Capaldi,Jim Broadbent,Madeleine Harris,Samuel Joslin",,"Paddington raconte l'histoire d'un jeune ours péruvien fraîchement débarqué à Londres, à la recherche d'un foyer et d'une vie meilleure. Il réalise vite que la ville de ses rêves n",https://fr.web.img3.acsta.net/c_310_420/pictures/14/12/05/10/53/508053.jpg,https://www.allocine.fr/film/fichefilm-207487/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-207487/similaire/
Le Tout Nouveau Testament,Le Tout Nouveau Testament,2 septembre 2015,1h 54min,"Comédie,Fantastique","Belgique,France,Luxembourg","2,6",5240,739,Jaco van Dormael,"Benoît Poelvoorde,Yolande Moreau,Catherine Deneuve,François Damiens,Pili Groyne,Marco Lorenzini,Serge Larivière,Laura Verlinden,Didier de Neck,Louis Durant",An Pierlé,"Dieu existe. Il habite à Bruxelles. Il est odieux avec sa femme et sa fille. On a beaucoup parlé de son fils, mais très peu de sa fille. Sa fille c’est moi. Je m’appelle Ea et j’ai",https://fr.web.img4.acsta.net/c_310_420/pictures/15/07/15/17/29/289542.jpg,https://www.allocine.fr/film/fichefilm-222641/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-222641/similaire/
Interstellar,Interstellar,5 novembre 2014,2h 49min,"Drame,Science Fiction","U.S.A.,Grande-Bretagne","4,5",84885,4378,Christopher Nolan,"Matthew McConaughey,Anne Hathaway,Michael Caine,John Lithgow,Jessica Chastain,Casey Affleck,Mackenzie Foy,Wes Bentley,David Gyasi,Timothée Chalamet,Topher Grace,David Oyelowo,Collette Wolfe,Leah Cairns,William Devane,Ellen Burstyn,Matt Damon,Elyes Gabel,Francis X. McCarthy,Andrew Borba,Lena Georgas,Jeff Hephner,Mark Casimir Dyniewicz",Hans Zimmer,Le film raconte les aventures d’un groupe d’explorateurs qui utilisent une faille récemment découverte dans l’espace-temps afin de repousser les limites humaines et partir à la con,https://fr.web.img5.acsta.net/c_310_420/pictures/14/09/24/12/08/158828.jpg,https://www.allocine.fr/film/fichefilm-114782/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-114782/similaire/
Maléfique,Maleficent,28 mai 2014,1h 37min,"Aventure,Fantastique",U.S.A.,"3,7",25489,1347,Robert Stromberg,"Angelina Jolie,Elle Fanning,Sharlto Copley,Sam Riley,Brenton Thwaites,Juno Temple,Ella Purnell,Imelda Staunton,Lesley Manville,Hannah New,Jamie Sives,Steven Cree,Kenneth Cranham,Marama Corlett,Kara Lily Hayworth,Hermione Corfield,Guy Potter,Adam Bond,Jackson Bews,Matthew John Morley,Jamie Maclachlan,Matt Hookings",James Newton Howard,"Maléfique est une belle jeune femme au coeur pur qui mène une  vie idyllique au sein d’une paisible forêt dans un royaume où règnent le bonheur et l’harmonie. Un jour, une armée d’",https://fr.web.img6.acsta.net/c_310_420/pictures/14/04/03/12/56/160545.jpg,https://www.allocine.fr/film/fichefilm-201429/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-201429/similaire/
Whiplash,Whiplash,24 décembre 2014,1h 47min,"Drame,Musical",U.S.A.,"4,4",34757,1181,Damien Chazelle,"Miles Teller,J.K. Simmons,Paul Reiser,Melissa Benoist,Jayson Blair,Austin Stowell,Chris Mulkey,Damon Gupton,Suanne Spoke,Kofi Siriboe,Kavita Patil,Max Kasch,Tarik Lowe,Calvin C. Winbush,Rogelio Douglas Jr.,Michael D. Cohen,Jocelyn Ayanna,Keenan Henson,April Grace,Marcus Henderson,Henry G. Sanders",Justin Hurwitz,"Andrew, 19 ans, rêve de devenir l’un des meilleurs batteurs de jazz de sa génération. Mais la concurrence est rude au conservatoire de Manhattan où il s’entraîne avec acharnement. ",https://fr.web.img6.acsta.net/c_310_420/pictures/14/09/26/17/53/345974.jpg,https://www.allocine.fr/film/fichefilm-225953/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-225953/similaire/
Invincible,Unbroken,7 janvier 2015,2h 17min,"Biopic,Drame,Guerre",U.S.A.,"4,0",7937,541,Angelina Jolie,"Jack O'Connell,Domhnall Gleeson,Garrett Hedlund,Jai Courtney,Miyavi,Finn Wittrock,Maddalena Ischiale,Vincenzo Amato,John Magaro,Luke Treadaway,Ross Anderson,C.J. Valleroy,John D'Leo,Alex Russell,Spencer Lofranco,Ryan Ahern,Michael Whalley,Anthony Phelan,David Roberts,Sandy Winton",Alexandre Desplat,"L'incroyable destin du coureur olympique et héros de la Seconde Guerre mondiale Louis ""Louie"" Zamperini dont l'avion s'est écrasé en mer en 1942, tuant huit membres de l'équipage e",https://fr.web.img3.acsta.net/c_310_420/pictures/14/11/06/14/39/212413.jpg,https://www.allocine.fr/film/fichefilm-216918/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-216918/similaire/
Edge Of Tomorrow,Edge Of Tomorrow,4 juin 2014,1h 53min,"Action,Science Fiction","U.S.A.,Australie","4,0",34030,1674,Doug Liman,"Tom Cruise,Emily Blunt,Bill Paxton,Brendan Gleeson,Charlotte Riley,Lara Pulver,Noah Taylor,Jonas Armstrong,Franz Drameh,Dragomir Mrsic,Kick Gurry,Tony Way,Masayoshi Haneda,Madeleine Mantock,Lee Asquith-Coe,Deborah Rosan,Ronan Summers,Denis Khoroshko,Marco Flammer,Bentley Kalu,Jim Sturgeon,Phoenix James,Seelan Gunaseelan,Marianne Jean-Baptiste,Tommy Campbell","John Powell,Christophe Beck","Dans un futur proche, des hordes d'extraterrestres ont livré une bataille acharnée contre la Terre et semblent désormais invincibles: aucune armée au monde n'a réussi à les vaincre",https://fr.web.img3.acsta.net/c_310_420/pictures/14/05/23/17/03/300170.jpg,https://www.allocine.fr/film/fichefilm-185030/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-185030/similaire/
Une Rencontre,Une Rencontre,23 avril 2014,1h 22min,"Drame,Romance",France,"2,8",2103,306,Lisa Azuelos,"Sophie Marceau,François Cluzet,Lisa Azuelos,Alexandre Astier,Arthur Benzaquen,Jonathan Cohen,Niels Schneider,Stéphanie Murat,Olivia Côte,Syrus Shahidi,Lily Taïeb,Jules Benchetrit,Stylane Lecaille,Nigel Boyle,David Broughton-Davies,Simon DeSilva,Glenn Webster,Sonia Rugraff",,"Elsa écrivain, et Pierre, avocat, se croisent lors de la soirée de clôture d’un salon du livre : un regard, un briquet qui change de mains, des rires un peu trop nerveux, le frémis",https://fr.web.img4.acsta.net/c_310_420/pictures/14/03/12/11/20/048773.jpg,https://www.allocine.fr/film/fichefilm-213893/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-213893/similaire/
L'Odeur de la mandarine,L'Odeur de la mandarine,30 septembre 2015,1h 50min,Drame,France,"3,7",579,84,Gilles Legrand,"Olivier Gourmet,Georgia Scalliet,Dimitri Storoge,Hélène Vincent,Fred Ulysse,Marine Vallée,Romain Bouteille,Michel Robin,Urbain Cancelier,Alix Bénézech",Armand Amar,"Eté 1918. La guerre fait rage pour quelques mois encore, mais pour Charles et Angèle, elle est déjà finie. Lui, officier de cavalerie y a laissé une jambe. Elle, son infirmière à d",https://fr.web.img6.acsta.net/c_310_420/pictures/15/06/04/14/20/106994.jpg,https://www.allocine.fr/film/fichefilm-232152/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-232152/similaire/
Qu'est-ce qu'on a fait au Bon Dieu?,Qu'est-ce qu'on a fait au Bon Dieu?,16 avril 2014,1h 37min,Comédie,France,"3,4",50297,3309,Philippe de Chauveron,"Christian Clavier,Chantal Lauby,Ary Abittan,Medi Sadoun,Frédéric Chau,Élodie Fontan,Frédérique Bel,Julia Piaton,Noom Diawara,Émilie Caen,Pascal NZonzi,Salimata Kamate,Tatiana Rojo,Elie Semoun,Axel Boute,Nicolas Wanczycki,Loïc Legendre,Jassem Mougari,Audrey Quoturi,Nicolas Mouen,Philippe Bertin,David Salles,Nicolas Buchoux,Jason Divengele,Frédéric Saurel",Marc Chouarain,"Claude et Marie Verneuil, issus de la grande bourgeoisie catholique provinciale sont des parents plutôt ""vieille France"". Mais ils se sont toujours obligés à faire preuve d'ouvertu",https://fr.web.img6.acsta.net/c_310_420/pictures/14/03/04/14/58/474265.jpg,https://www.allocine.fr/film/fichefilm-222259/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-222259/similaire/
